source_addresses,recipient_address,amount_phmn,note
juno1akfkr4np0y84lckf30am9eh2cczft2sj7mmnce,cosmos1akfkr4np0y84lckf30am9eh2cczft2sjgfcgl9,132.000000,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno15xdrd7ztark2h0d2crg6gj5zhlyg866mznr62d,cosmos15xdrd7ztark2h0d2crg6gj5zhlyg866m5pqpd3,131.866638,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo1zcr3ysxzsl8x7shqky0jxuv792dr8ld2t4dxku,cosmos1zcr3ysxzsl8x7shqky0jxuv792dr8ld2rw7kqw,130.126771,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1hsst3mt5k5pnhztfx0sxa76up6mja3k54mmep2,cosmos1hsst3mt5k5pnhztfx0sxa76up6mja3k5rfczxk,130.049297,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1num4y2e73tjkz0wsnx7304ydgqqfw85usjw9nu,cosmos1num4y2e73tjkz0wsnx7304ydgqqfw85uxqd75q,129.771045,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1mu26reayvd7vwknxugmx3vw8fqmvladjl39q3m; neutron1mu26reayvd7vwknxugmx3vw8fqmvladjdu0evq,cosmos1mu26reayvd7vwknxugmx3vw8fqmvladjfrxmk8,129.613414,Multiple source addresses normalize to the same Cosmos account bytes; their balances are combined into one recipient allocation. Snapshot allocation exceeds 100 PHMN.
juno1jlarsemshdeuateg7h7692e3ytzzyvlqlwnync,cosmos1jlarsemshdeuateg7h7692e3ytzzyvlqfusl5y,129.266596,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno14x893vphgfwjeu3dyz5ee9vtrx6z66f67rkrej,cosmos14x893vphgfwjeu3dyz5ee9vtrx6z66f6g34c7w,128.259380,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno13gd97ke6erejqk2p050xkpc63jhtujrejmvj90,cosmos13gd97ke6erejqk2p050xkpc63jhtujreyf0fzn,125.861931,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo12gdehwwv8eusdzwszpx2yt522cnun74ychvdpg,cosmos12gdehwwv8eusdzwszpx2yt522cnun74ysvlah6,123.405521,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
