chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,distribution_note
osmosis,current,osmo1nqtsw6tx3wzssypd6t33sqldgudqcu00u4t2vymn5kdw82n5mc8susdu4e,cosmos1nqtsw6tx3wzssypd6t33sqldgudqcu00u4t2vymn5kdw82n5mc8sfd4yzl,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,11203,0.011203,,,
osmosis,current,osmo15pz9araxpvf7p0uaryeeee00k6a5fc76v5lrle,cosmos15pz9araxpvf7p0uaryeeee00k6a5fc76y0vnft,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,11182,0.011182,,,
osmosis,current,osmo1l8adtfu6ajfz4la4vqphrksu87rcgp37jv47tl,cosmos1l8adtfu6ajfz4la4vqphrksu87rcgp376hxwad,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,11002,0.011002,,,
osmosis,current,osmo1lfkp5zdd7us6dvpfavn6kckgegu9czkx7cf5mt,cosmos1lfkp5zdd7us6dvpfavn6kckgegu9czkxkr6yde,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,10440,0.010440,,,
osmosis,current,osmo10593j9pkjt7qwwax5r46dh3y76u0f7marxv40j,cosmos10593j9pkjt7qwwax5r46dh3y76u0f7matal9eq,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,9748,0.009748,,,
osmosis,current,osmo1s2xvm5d6kv2mhnwuc4d3xpunqjq2leh970ve8j,cosmos1s2xvm5d6kv2mhnwuc4d3xpunqjq2leh9k5lf3q,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,8400,0.008400,,,
osmosis,current,osmo1zzy62qxkaxwag6knaxwsmhjpa4ak9cn3nux9xg,cosmos1zzy62qxkaxwag6knaxwsmhjpa4ak9cn3m844s6,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,7532,0.007532,,,
osmosis,current,osmo1rfz5wceejv405g8v8j203j8wgw5f7dnnsnlwl3,cosmos1rfz5wceejv405g8v8j203j8wgw5f7dnncgv7fr,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,7327,0.007327,,,
osmosis,current,osmo1qzqvyfgete4dep9p8nj2anf8hjagx5ww02jdur,cosmos1qzqvyfgete4dep9p8nj2anf8hjagx5ww83pa23,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,7142,0.007142,,,
osmosis,current,osmo1kr4v5jyhpddpdyvz7ajflw5jp47uj3jmx03mdu,cosmos1kr4v5jyhpddpdyvz7ajflw5jp47uj3jmw5ztmw,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,6925,0.006925,,,
